Division,Area,Base Membership,Active Membership,September Renewals,September Renewals %,March Renewals,March Renewals %,Total New Members,Total Payments
0D,0A,0.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0
A,01,120.0,102.0,84.0,0.7,63.0,0.525,71.0,239.0
A,02,132.0,112.0,57.0,0.4318,63.0,0.4773,113.0,259.0
A,03,176.0,175.0,109.0,0.6193,118.0,0.6705,101.0,355.0
A,04,106.0,81.0,73.0,0.6887,57.0,0.5377,66.0,196.0
A,05,80.0,33.0,61.0,0.7625,32.0,0.4,17.0,110.0
B,01,170.0,124.0,73.0,0.4294,69.0,0.4059,149.0,346.0
B,02,140.0,66.0,60.0,0.4286,40.0,0.2857,62.0,162.0
B,03,148.0,86.0,63.0,0.4257,50.0,0.3378,64.0,224.0
B,04,76.0,69.0,53.0,0.6974,53.0,0.6974,37.0,143.0
C,01,113.0,83.0,86.0,0.7611,68.0,0.6018,31.0,185.0
C,02,85.0,72.0,47.0,0.5529,57.0,0.6706,46.0,150.0
C,03,168.0,132.0,75.0,0.4464,75.0,0.4464,70.0,250.0
C,04,92.0,100.0,62.0,0.6739,90.0,0.9783,58.0,210.0
D,01,66.0,70.0,54.0,0.8182,51.0,0.7727,42.0,148.0
D,02,95.0,60.0,59.0,0.6211,39.0,0.4105,41.0,139.0
D,03,64.0,31.0,39.0,0.6094,29.0,0.4531,12.0,80.0
D,04,75.0,74.0,63.0,0.84,66.0,0.88,40.0,169.0
D,05,35.0,11.0,9.0,0.2571,11.0,0.3143,11.0,31.0
E,01,81.0,70.0,56.0,0.6914,54.0,0.6667,44.0,154.0
E,02,111.0,125.0,90.0,0.8108,93.0,0.8378,84.0,267.0
E,03,125.0,93.0,78.0,0.624,64.0,0.512,81.0,223.0
E,04,80.0,32.0,62.0,0.775,32.0,0.4,16.0,110.0
F,01,79.0,75.0,56.0,0.7089,53.0,0.6709,58.0,167.0
F,02,119.0,75.0,77.0,0.6471,67.0,0.563,23.0,168.0
F,03,140.0,117.0,64.0,0.4571,74.0,0.5286,51.0,209.0
F,04,151.0,91.0,90.0,0.596,70.0,0.4636,52.0,212.0
F,05,140.0,118.0,70.0,0.5,97.0,0.6929,36.0,248.0
G,01,99.0,78.0,49.0,0.4949,58.0,0.5859,44.0,171.0
G,02,158.0,139.0,103.0,0.6519,95.0,0.6013,74.0,292.0
G,03,90.0,73.0,68.0,0.7556,60.0,0.6667,35.0,163.0
G,04,90.0,103.0,58.0,0.6444,55.0,0.6111,51.0,189.0
H,01,118.0,96.0,96.0,0.8136,84.0,0.7119,31.0,211.0
H,02,116.0,74.0,81.0,0.6983,63.0,0.5431,38.0,182.0
H,03,94.0,86.0,81.0,0.8617,61.0,0.6489,54.0,196.0
H,04,57.0,62.0,48.0,0.8421,47.0,0.8246,28.0,123.0
H,05,80.0,62.0,56.0,0.7,43.0,0.5375,44.0,143.0
I,01,116.0,105.0,56.0,0.4828,71.0,0.6121,90.0,235.0
I,02,140.0,136.0,92.0,0.6571,115.0,0.8214,74.0,305.0
I,03,96.0,91.0,81.0,0.8438,79.0,0.8229,42.0,202.0
I,04,96.0,98.0,91.0,0.9479,83.0,0.8646,56.0,230.0
Area Total,,4317.0,3492.0,2730.0,0.6324,2549.0,0.5905,2149.0,7808.0
