Division,Base Clubs,Active Clubs,Distinguished Clubs,Base Membership,Active Membership,September Renewals,September Renewals %,March Renewals,March Renewals %,Total New Members,Total Payments,20+ Clubs
Division 0D,1,1,0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,12.0,0
Division A,26,23,12,614.0,503.0,384.0,0.6254,333.0,0.5423,368.0,1159.0,13
Division B,21,15,9,534.0,345.0,249.0,0.4663,212.0,0.397,312.0,875.0,9
Division C,18,15,8,458.0,387.0,270.0,0.5895,290.0,0.6332,205.0,795.0,9
Division D,21,15,6,335.0,246.0,224.0,0.6687,196.0,0.5851,146.0,567.0,7
Division E,16,16,9,397.0,320.0,286.0,0.7204,243.0,0.6121,225.0,754.0,9
Division F,24,24,13,629.0,476.0,357.0,0.5676,361.0,0.5739,220.0,1004.0,16
Division G,19,19,12,437.0,393.0,278.0,0.6362,268.0,0.6133,204.0,815.0,12
Division H,24,19,11,465.0,380.0,362.0,0.7785,298.0,0.6409,195.0,855.0,9
Division I,19,17,11,448.0,430.0,320.0,0.7143,348.0,0.7768,262.0,972.0,12
District Total,189,164,91,4317.0,3492.0,2730.0,0.6324,2549.0,0.5905,2149.0,7808.0,96
