"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"121","0D","0A","07896844","ICSI Mysuru RoyalPro TM Club","Active","N","0","12","12","2","0","0","0","0","0","0","4","8","0","0","0","0","0",""
"121","A","01","01449300","Mysore Toastmasters","Active","Y","35","30","-5","10","5","2","3","5","1","6","4","17","7","6","1","1","2","M"
"121","A","01","06632488","VVCE TOASTMASTERS CLUB","Active","Y","29","31","2","8","3","2","0","2","1","2","4","9","7","7","1","1","1","S"
"121","A","01","07992645","All Women and Entrepreneurs Toastmasters Club","Active","Y","23","20","-3","10","4","2","2","3","1","3","4","7","7","7","1","1","2","P"
"121","A","01","28678068","MIT Toastmasters","Ineligible","Y","12","0","-12","3","0","0","0","0","0","0","4","22","7","2","1","0","1",""
"121","A","01","28680152","rProcess Toastmasters Club","Active","Y","21","21","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1",""
"121","A","02","05953659","Ritoras","Active","Y","14","23","9","9","4","2","0","2","1","1","4","13","7","4","1","1","2","P"
"121","A","02","06714857","Galaxy Toastmasters Club","Active","Y","30","33","3","10","6","2","2","2","1","2","4","25","7","6","1","1","2","M"
"121","A","02","07772645","Namma Bengaluru Toastmasters Club","Active","Y","10","9","-1","7","1","1","0","2","1","2","4","4","7","4","0","1","2",""
"121","A","02","28678224","TE Services Toastmasters Club","Active","Y","32","37","5","5","8","2","0","0","0","0","4","50","7","3","1","1","1","D"
"121","A","02","28678951","Welldoc Toastmasters","Active","Y","20","10","-10","1","1","1","0","1","0","0","4","1","7","2","0","0","1",""
"121","A","02","28679251","Terra","Suspended","Y","26","0","-26","0","0","0","0","0","0","0","0","0","0","3","0","0","1",""
"121","A","03","03793772","Utthishta Toastmasters","Active","Y","55","55","0","10","5","2","6","7","1","1","4","24","7","7","1","1","2","M"
