District,Division,Area,Club Number,Club Name,Club Status,CSP,Mem. Base,Active Members,Net Growth,Goals Met,Level 1s,Level 2s,Add. Level 2s,Level 3s,"Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award",New Members,Add. New Members,Off. Trained Round 1,Off. Trained Round 2,Mem. dues on time Oct,Mem. dues on time Apr,Off. List On Time,Club Distinguished Status,New,Late Ren.,Oct. Ren.,Apr. Ren.,Total Ren.,Total Chart,Total to Date,Distinguished Status,Charter Date/Suspend Date,October Renewals,April Renewals,Nov Visit award,May Visit award,Membership to date,Club Goals Met,Distinguished Club,Area Club Base,Area Paid Club Goal for Dist.,Area Paid Club Goal for Select Dist.,Area Paid Club Goal for Pres. Dist.,Total Paid Area Clubs,Area Dist. Club Goal for Dist.,Area Dist. Club Goal for Select Dist.,Area Dist. Club Goal for Pres. Dist.,Total Dist. Area Clubs,Distinguished Area,Division Club Base,Division Paid Club Goal for Dist.,Division Paid Club Goal for Select Dist.,Division Paid Club Goal for Pres. Dist.,Total Paid Division Clubs,Division Dist. Club Goal for Dist.,Division Dist. Club Goal for Select Dist.,Division Dist. Club Goal for Pres. Dist.,Total Dist. Division Clubs,Distinguished Division,Charter Date/Suspend Date_div
121,0D,0A,7896844.0,ICSI Mysuru RoyalPro TM Club,Active,N,0.0,12.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,12.0,,,1.0,1.0,0.0,0.0,12.0,2.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,
121,A,01,1449300.0,Mysore Toastmasters,Active,Y,35.0,30.0,-5.0,10.0,5.0,2.0,3.0,5.0,1.0,6.0,4.0,17.0,7.0,6.0,1.0,1.0,2.0,M,21.0,0.0,25.0,27.0,52.0,0.0,73.0,M,,1.0,1.0,1.0,1.0,30.0,10.0,M,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,01,6632488.0,VVCE TOASTMASTERS CLUB,Active,Y,29.0,31.0,2.0,8.0,3.0,2.0,0.0,2.0,1.0,2.0,4.0,9.0,7.0,7.0,1.0,1.0,1.0,S,13.0,0.0,22.0,21.0,43.0,0.0,56.0,S,,1.0,1.0,1.0,1.0,31.0,8.0,S,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,01,7992645.0,All Women and Entrepreneurs Toastmasters Club,Active,Y,23.0,20.0,-3.0,10.0,4.0,2.0,2.0,3.0,1.0,3.0,4.0,7.0,7.0,7.0,1.0,1.0,2.0,P,11.0,0.0,11.0,15.0,26.0,0.0,37.0,P,,1.0,1.0,1.0,1.0,20.0,10.0,P,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,01,28678068.0,MIT Toastmasters,Ineligible,Y,12.0,0.0,-12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,7.0,2.0,1.0,0.0,1.0,,26.0,0.0,26.0,0.0,26.0,0.0,52.0,,,1.0,0.0,1.0,1.0,0.0,3.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,01,28680152.0,rProcess Toastmasters Club,Active,Y,21.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,21.0,21.0,,Charter 06/25/26,0.0,0.0,0.0,0.0,21.0,1.0,,4.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,3.0,Select Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,Charter 06/25/26
121,A,02,5953659.0,Ritoras,Active,Y,14.0,23.0,9.0,9.0,4.0,2.0,0.0,2.0,1.0,1.0,4.0,13.0,7.0,4.0,1.0,1.0,2.0,P,17.0,0.0,13.0,17.0,30.0,0.0,47.0,P,,1.0,1.0,1.0,1.0,23.0,9.0,P,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,02,6714857.0,Galaxy Toastmasters Club,Active,Y,30.0,33.0,3.0,10.0,6.0,2.0,2.0,2.0,1.0,2.0,4.0,25.0,7.0,6.0,1.0,1.0,2.0,M,29.0,0.0,23.0,25.0,48.0,0.0,77.0,M,,1.0,1.0,1.0,1.0,33.0,10.0,M,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,02,7772645.0,Namma Bengaluru Toastmasters Club,Active,Y,10.0,9.0,-1.0,7.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,4.0,7.0,4.0,0.0,1.0,2.0,,8.0,0.0,3.0,7.0,10.0,0.0,18.0,,,1.0,1.0,1.0,1.0,9.0,7.0,,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
121,A,02,28678224.0,TE Services Toastmasters Club,Active,Y,32.0,37.0,5.0,5.0,8.0,2.0,0.0,0.0,0.0,0.0,4.0,50.0,7.0,3.0,1.0,1.0,1.0,D,54.0,0.0,9.0,9.0,18.0,0.0,72.0,D,,1.0,1.0,1.0,1.0,37.0,5.0,D,5.0,5.0,5.0,6.0,5.0,3.0,4.0,4.0,3.0,Distinguished,23.0,23.0,24.0,25.0,23.0,11.0,12.0,13.0,12.0,Distinguished,
