"District","Division","Area","Club","Club Name","New","Late Ren.","Oct. Ren.","Apr. Ren.","Total Ren.","Total Chart","Total to Date","Distinguished Status","Charter Date/Suspend Date"
"121","0D","0A","07896844","ICSI Mysuru RoyalPro TM Club","12","0","0","0","0","0","12","",""
"121","A","01","01449300","Mysore Toastmasters","21","0","25","27","52","0","73","M",""
"121","A","01","06632488","VVCE TOASTMASTERS CLUB","13","0","22","21","43","0","56","S",""
"121","A","01","07992645","All Women and Entrepreneurs Toastmasters Club","11","0","11","15","26","0","37","P",""
"121","A","01","28678068","MIT Toastmasters","26","0","26","0","26","0","52","",""
"121","A","01","28680152","rProcess Toastmasters Club","0","0","0","0","0","21","21","","Charter 06/25/26"
"121","A","02","05953659","Ritoras","17","0","13","17","30","0","47","P",""
"121","A","02","06714857","Galaxy Toastmasters Club","29","0","23","25","48","0","77","M",""
"121","A","02","07772645","Namma Bengaluru Toastmasters Club","8","0","3","7","10","0","18","",""
"121","A","02","28678224","TE Services Toastmasters Club","54","0","9","9","18","0","72","D",""
"121","A","02","28678951","Welldoc Toastmasters","5","0","9","5","14","0","19","",""
"121","A","02","28679251","Terra","0","0","0","0","0","26","26","","Charter 09/30/25 Susp 03/31/26"
"121","A","03","03793772","Utthishta Toastmasters","28","0","59","46","105","0","133","M",""
"121","A","03","03926170","Textron India Toastmasters Club","23","0","22","27","49","0","72","M",""
"121","A","03","06479232","Mphasis Speech Crafters","31","0","14","11","25","0","56","M",""
"121","A","03","28678028","Namaste Orators","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","A","03","28678938","DSBA Toastmaster Club","19","0","14","7","21","0","40","D",""
"121","A","03","28679826","DSBA Toastmasters Legacy Club","0","0","0","27","27","27","54","","Charter 03/01/26"
"121","A","04","07991317","Eloquence Elixir Toastmasters","10","0","15","13","28","0","38","",""
"121","A","04","28675492","Professional Orators and Leaders TM Club","11","0","21","18","39","0","50","M",""
"121","A","04","28676363","Nagarabhavi Toastmasters Club","12","0","14","8","22","0","34","",""
"121","A","04","28677190","Christ Kengeri Club","15","0","19","13","32","0","47","",""
"121","A","04","28677268","ABBS Toastmasters Club","18","0","4","5","9","0","27","S",""
"121","A","05","00631732","Mahaveer Speakers Forum Toastmaster Club","7","0","14","8","22","0","29","",""
"121","A","05","00632019","Jain Speakers Forum Toastmasters Club","4","0","15","8","23","0","27","",""
"121","A","05","00843177","Talk Master CMS Toastmasters Club","2","0","16","8","24","0","26","",""
"121","A","05","00843182","Speech Master CMS Toastmasters Club","4","0","16","8","24","0","28","",""
"121","B","01","07335393","Shivamogga Toastmasters","5","0","5","7","12","0","17","",""
"121","B","01","28675426","Valyou Toastmasters","1","0","5","0","5","0","6",""," Susp 03/31/26"
"121","B","01","28676014","Autodesk Toastmasters Club","98","0","25","42","67","0","165","M",""
"121","B","01","28676901","Accenture Toasters","27","0","18","20","38","0","65","S",""
"121","B","01","28678720","Acharyas Speaking Forum","0","0","20","0","20","0","20","",""
"121","B","01","28678997","Paychex Catalyst Crew 2","18","0","0","0","0","55","73","","Charter 08/01/25"
"121","B","02","00000547","deejays Toastmasters","6","0","12","10","22","0","28","",""
"121","B","02","07734175","Republic of Toastmasters","23","0","8","10","18","0","41","P",""
"121","B","02","28677183","Titans Toastmasters Club","10","0","14","9","23","0","33","",""
"121","B","02","28678400","Voices of Pearson Toastmasters Club","23","0","26","11","37","0","60","D",""
"121","B","02","28678746","The Orator's Society","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","B","03","06975394","Toastmasters of HP","22","0","13","18","31","0","53","M",""
"121","B","03","07908984","RCB Griffin","13","0","19","12","31","0","44","M",""
"121","B","03","07908988","RCB Pegasus","13","0","17","12","29","0","42","M",""
"121","B","03","07908991","RCB Phoenix","0","0","14","8","22","0","22","",""
"121","B","03","28678996","Paychex Catalyst Crew 1","16","0","0","0","0","21","37","","Charter 08/01/25"
"121","B","03","28679255","Aurigo Toastbusters","0","0","0","0","0","26","26","","Charter 09/30/25 Susp 03/31/26"
"121","B","04","05868577","Bosch Raconteurs","12","0","21","18","39","0","51","P",""
"121","B","04","05998569","BMC Bengaluru Toastmasters Club","4","0","8","6","14","0","18","",""
"121","B","04","07934414","V R Advanced Toastmasters","5","0","15","18","33","0","38","S",""
"121","B","04","28677046","Bosch Adugodi","16","0","9","11","20","0","36","",""
"121","C","01","01389390","IIMB Orators Club","14","0","52","53","105","0","119","M",""
"121","C","01","07514725","LKQI Toastmasters Club","8","0","9","3","12","0","20","",""
"121","C","01","07762021","Christ Toastmasters Club","7","0","13","7","20","0","27","",""
"121","C","01","28678373","Sense-say-tional Toastmasters","2","0","12","5","17","0","19","",""
"121","C","02","00009639","Mecon Communication Club","26","0","26","33","59","0","85","M",""
"121","C","02","04329635","Tarento India Toastmasters Club","7","0","14","12","26","0","33","",""
"121","C","02","06584495","The Impressions","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","C","02","28675687","School of Commerce, Jain University Toastmasters","13","0","7","12","19","0","32","",""
"121","C","03","02188958","Koramangala Toastmasters Club","32","0","39","39","78","0","110","M",""
"121","C","03","06636162","BTM Toastmasters Club","19","0","20","19","39","0","58","M",""
"121","C","03","06636175","Clinisys Toastmasters Club","14","0","5","6","11","0","25","",""
"121","C","03","28676357","Ascend Trailblazers Toastmasters Club","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","C","03","28678910","Furlenco Toastmasters Club","5","0","11","11","22","0","27","",""
"121","C","03","28680500","eGov Toastmasters Club","0","0","0","0","0","30","30","","Charter 06/30/26"
"121","C","04","04410336","Dhwani Toastmasters","25","0","26","23","49","0","74","P",""
"121","C","04","07502654","Transcend Toastmasters Club","11","0","12","23","35","0","46","P",""
"121","C","04","07856506","Transcend Toastmasters Club - 2","13","0","10","23","33","0","46","P",""
"121","C","04","07962666","Transcend Toastmasters Club 3","9","0","14","21","35","0","44","P",""
"121","D","01","03984104","Calicut Toastmasters","18","0","19","19","38","0","56","M",""
"121","D","01","06750919","Kannur Toastmasters Club","5","0","9","7","16","0","21","",""
"121","D","01","28675444","Advanced Debate Club","2","0","8","10","18","0","20","",""
"121","D","01","28676179","Malabar Toastmasters Club","17","1","18","15","34","0","51","M",""
"121","D","02","01872178","Toastmasters Club Of Thrissur","17","0","20","17","37","0","54","M",""
"121","D","02","05915386","Enterprising Toastmasters of Palakkad","14","0","23","19","42","0","56","M",""
"121","D","02","07173481","Perinthalmanna Toastmasters Club","0","0","12","0","12","0","12","",""
"121","D","02","28676579","Kasaragod Toastmasters Club","10","0","4","3","7","0","17","",""
"121","D","02","28678457","Ayur Path Toastmasters Club","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","D","03","04327554","Orators Toastmasters","6","0","8","10","18","0","24","",""
"121","D","03","07814695","Thrissur Malayalam Toastmasters","2","0","9","8","17","0","19","",""
"121","D","03","07902228","ME Kerala Toastmasters Club","1","0","15","11","26","0","27","",""
"121","D","03","28675709","Sahrdaya Toastmasters Club","3","0","7","0","7","0","10","",""
"121","D","04","01207477","EKM Toastmasters","10","0","19","17","36","0","46","P",""
"121","D","04","07397586","Black Gold Toastmasters","6","0","16","18","34","0","40","",""
"121","D","04","07854448","Heritage Toastmasters","2","0","7","7","14","0","16","",""
"121","D","04","07877475","Cask Orators","22","0","21","24","45","0","67","M",""
"121","D","05","07527118","Lead Orators Toastmasters","0","0","0","0","0","0","0",""," Susp 03/31/26"
"121","D","05","07657832","Bioingredia Toastmasters Club","11","0","3","11","14","0","25","",""
"121","D","05","07847626","Lead Champions Toastmasters Club","0","0","3","0","3","0","3",""," Susp 03/31/26"
"121","D","05","07847628","LEAD THE WORLD TOASTMASTERS CLUB","0","0","3","0","3","0","3",""," Susp 03/31/26"
"121","E","01","03859695","IBC Titans Toastmasters Club","7","0","9","5","14","0","21","",""
"121","E","01","04113936","Infinera Toastmasters","6","0","20","22","42","0","48","S",""
"121","E","01","28676711","Melange Toastmasters Club","2","0","11","8","19","0","21","",""
"121","E","01","28676900","Acuity Toastmasters Open Mic","29","0","16","19","35","0","64","M",""
"121","E","02","05412566","RIPPLERS","35","0","23","21","44","0","79","M",""
"121","E","02","06427472","Lead India Speakers Club","19","0","12","13","25","0","44","P",""
"121","E","02","07711039","Words Worth Toastmasters","14","0","31","34","65","0","79","M",""
"121","E","02","28676701","Evolve Toastmasters","16","0","24","25","49","0","65","M",""
"121","E","03","02405453","vTalk Toastmasters Club","4","0","9","8","17","0","21","",""
"121","E","03","06831114","Leaders Speak","16","0","18","17","35","0","51","P",""
"121","E","03","07460211","WeSpeak Toastmasters Club","19","0","32","24","56","0","75","M",""
"121","E","03","28678473","Flexera Toastmasters","42","0","19","15","34","0","76","D",""
"121","E","04","00632425","CMS Speakers Forum Toastmasters Club","3","0","16","8","24","0","27","",""
"121","E","04","00725960","Jain Toastmasters Club","4","0","16","8","24","0","28","",""
"121","E","04","00726395","SBMJC Toastmasters Club","5","0","15","8","23","0","28","",""
"121","E","04","00726698","Mahaveer Toastmasters Club","4","0","15","8","23","0","27","",""
"121","F","01","03014292","TAPMI Toastmasters","10","0","10","8","18","0","28","",""
"121","F","01","03900632","Manipal-Udupi Toastmasters Club","13","0","9","10","19","0","32","S",""
"121","F","01","06843977","MAHE Toastmasters Club","21","0","25","26","51","0","72","M",""
"121","F","01","28676491","Udupi Toastmasters Club","14","0","12","9","21","0","35","",""
