"District","Division","Area","Club","Club Name","October Renewals","April Renewals","Nov Visit award","May Visit award","Membership to date","Club Goals Met","Distinguished Club","Area Club Base","Area Paid Club Goal for Dist.","Area Paid Club Goal for Select Dist.","Area Paid Club Goal for Pres. Dist.","Total Paid Area Clubs","Area Dist. Club Goal for Dist.","Area Dist. Club Goal for Select Dist.","Area Dist. Club Goal for Pres. Dist.","Total Dist. Area Clubs","Distinguished Area","Division Club Base","Division Paid Club Goal for Dist.","Division Paid Club Goal for Select Dist.","Division Paid Club Goal for Pres. Dist.","Total Paid Division Clubs","Division Dist. Club Goal for Dist.","Division Dist. Club Goal for Select Dist.","Division Dist. Club Goal for Pres. Dist.","Total Dist. Division Clubs","Distinguished Division","Charter Date/Suspend Date"
"121","0D","0A","07896844","ICSI Mysuru RoyalPro TM Club","1","1","0","0","12","2","","0","0","0","1","1","0","1","1","0","","0","0","1","2","1","0","0","0","0","",""
"121","A","01","01449300","Mysore Toastmasters","1","1","1","1","30","10","M","4","4","4","5","4","2","3","3","3","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","01","06632488","VVCE TOASTMASTERS CLUB","1","1","1","1","31","8","S","4","4","4","5","4","2","3","3","3","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","01","07992645","All Women and Entrepreneurs Toastmasters Club","1","1","1","1","20","10","P","4","4","4","5","4","2","3","3","3","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","01","28678068","MIT Toastmasters","1","0","1","1","0","3","","4","4","4","5","4","2","3","3","3","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","01","28680152","rProcess Toastmasters Club","0","0","0","0","21","1","","4","4","4","5","4","2","3","3","3","Select Distinguished","23","23","24","25","23","11","12","13","12","Distinguished","Charter 06/25/26"
"121","A","02","05953659","Ritoras","1","1","1","1","23","9","P","5","5","5","6","5","3","4","4","3","Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","02","06714857","Galaxy Toastmasters Club","1","1","1","1","33","10","M","5","5","5","6","5","3","4","4","3","Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","02","07772645","Namma Bengaluru Toastmasters Club","1","1","1","1","9","7","","5","5","5","6","5","3","4","4","3","Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","02","28678224","TE Services Toastmasters Club","1","1","1","1","37","5","D","5","5","5","6","5","3","4","4","3","Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
"121","A","02","28678951","Welldoc Toastmasters","1","1","1","1","10","1","","5","5","5","6","5","3","4","4","3","Distinguished","23","23","24","25","23","11","12","13","12","Distinguished",""
