Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
1449300,121,A,01,Mysore Toastmasters,Active,35.0,30.0,10.0,Yes,21.0,25.0,0.7143,Active,27.0,0.7714,Active,73.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6632488,121,A,01,VVCE TOASTMASTERS CLUB,Active,29.0,31.0,8.0,Yes,13.0,22.0,0.7586,Active,21.0,0.7241,Active,56.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7992645,121,A,01,All Women and Entrepreneurs Toastmasters Club,Active,23.0,20.0,10.0,Yes,11.0,11.0,0.4783,Active,15.0,0.6522,Active,37.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678068,121,A,01,MIT Toastmasters,Ineligible,12.0,0.0,3.0,-,26.0,26.0,2.1667,Active,0.0,0.0,Renewals not here,52.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28680152,121,A,01,rProcess Toastmasters Club,Active,21.0,21.0,1.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,21.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5953659,121,A,02,Ritoras,Active,14.0,23.0,9.0,Yes,17.0,13.0,0.9286,Active,17.0,1.2143,Active,47.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6714857,121,A,02,Galaxy Toastmasters Club,Active,30.0,33.0,10.0,Yes,29.0,23.0,0.7667,Active,25.0,0.8333,Active,77.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7772645,121,A,02,Namma Bengaluru Toastmasters Club,Active,10.0,9.0,7.0,-,8.0,3.0,0.3,Active,7.0,0.7,Active,18.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678224,121,A,02,TE Services Toastmasters Club,Active,32.0,37.0,5.0,Yes,54.0,9.0,0.2812,Active,9.0,0.2812,Active,72.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678951,121,A,02,Welldoc Toastmasters,Active,20.0,10.0,1.0,-,5.0,9.0,0.45,Active,5.0,0.25,Active,19.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28679251,121,A,02,Terra,Suspended,26.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,26.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
3793772,121,A,03,Utthishta Toastmasters,Active,55.0,55.0,10.0,Yes,28.0,59.0,1.0727,Active,46.0,0.8364,Active,133.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
3926170,121,A,03,Textron India Toastmasters Club,Active,33.0,37.0,10.0,Yes,23.0,22.0,0.6667,Active,27.0,0.8182,Active,72.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6479232,121,A,03,Mphasis Speech Crafters,Active,23.0,30.0,10.0,Yes,31.0,14.0,0.6087,Active,11.0,0.4783,Active,56.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678028,121,A,03,Namaste Orators,Suspended,10.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678938,121,A,03,DSBA Toastmaster Club,Active,28.0,26.0,5.0,Yes,19.0,14.0,0.5,Active,7.0,0.25,Active,40.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28679826,121,A,03,DSBA Toastmasters Legacy Club,Active,27.0,27.0,1.0,-,0.0,0.0,0.0,Renewals not here,27.0,1.0,Active,54.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7991317,121,A,04,Eloquence Elixir Toastmasters,Active,21.0,16.0,6.0,-,10.0,15.0,0.7143,Active,13.0,0.619,Active,38.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675492,121,A,04,Professional Orators and Leaders TM Club,Active,25.0,25.0,10.0,Yes,11.0,21.0,0.84,Active,18.0,0.72,Active,50.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676363,121,A,04,Nagarabhavi Toastmasters Club,Active,20.0,10.0,8.0,-,12.0,14.0,0.7,Active,8.0,0.4,Active,34.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677190,121,A,04,Christ Kengeri Club,Active,32.0,13.0,7.0,-,15.0,19.0,0.5938,Active,13.0,0.4062,Active,47.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677268,121,A,04,ABBS Toastmasters Club,Active,8.0,17.0,7.0,Yes,18.0,4.0,0.5,Active,5.0,0.625,Active,27.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
631732,121,A,05,Mahaveer Speakers Forum Toastmaster Club,Active,20.0,8.0,6.0,-,7.0,14.0,0.7,Active,8.0,0.4,Active,29.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
632019,121,A,05,Jain Speakers Forum Toastmasters Club,Active,20.0,8.0,6.0,-,4.0,15.0,0.75,Active,8.0,0.4,Active,27.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
