Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
7335393,121,B,01,Shivamogga Toastmasters,Active,11.0,9.0,4.0,-,5.0,5.0,0.4545,Active,7.0,0.6364,Active,17.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675426,121,B,01,Valyou Toastmasters,Suspended,8.0,0.0,0.0,-,1.0,5.0,0.625,Active,0.0,0.0,Renewals not here,6.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676014,121,B,01,Autodesk Toastmasters Club,Active,51.0,83.0,10.0,Yes,98.0,25.0,0.4902,Active,42.0,0.8235,Active,165.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676901,121,B,01,Accenture Toasters,Active,25.0,32.0,7.0,Yes,27.0,18.0,0.72,Active,20.0,0.8,Active,65.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678720,121,B,01,Acharyas Speaking Forum,Ineligible,20.0,0.0,5.0,-,0.0,20.0,1.0,Active,0.0,0.0,Renewals not here,20.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678997,121,B,01,Paychex Catalyst Crew 2,Ineligible,55.0,0.0,2.0,-,18.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,73.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
547,121,B,02,deejays Toastmasters,Active,20.0,10.0,5.0,-,6.0,12.0,0.6,Active,10.0,0.5,Active,28.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7734175,121,B,02,Republic of Toastmasters,Active,20.0,20.0,10.0,Yes,23.0,8.0,0.4,Active,10.0,0.5,Active,41.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677183,121,B,02,Titans Toastmasters Club,Active,16.0,13.0,4.0,-,10.0,14.0,0.875,Active,9.0,0.5625,Active,33.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678400,121,B,02,Voices of Pearson Toastmasters Club,Active,34.0,23.0,5.0,Yes,23.0,26.0,0.7647,Active,11.0,0.3235,Active,60.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678746,121,B,02,The Orator's Society,Suspended,50.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6975394,121,B,03,Toastmasters of HP,Active,20.0,28.0,10.0,Yes,22.0,13.0,0.65,Active,18.0,0.9,Active,53.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7908984,121,B,03,RCB Griffin,Active,29.0,25.0,10.0,Yes,13.0,19.0,0.6552,Active,12.0,0.4138,Active,44.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7908988,121,B,03,RCB Pegasus,Active,27.0,25.0,10.0,Yes,13.0,17.0,0.6296,Active,12.0,0.4444,Active,42.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7908991,121,B,03,RCB Phoenix,Active,25.0,8.0,8.0,-,0.0,14.0,0.56,Active,8.0,0.32,Active,22.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678996,121,B,03,Paychex Catalyst Crew 1,Ineligible,21.0,0.0,2.0,-,16.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,37.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28679255,121,B,03,Aurigo Toastbusters,Suspended,26.0,0.0,1.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,26.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5868577,121,B,04,Bosch Raconteurs,Active,25.0,23.0,10.0,Yes,12.0,21.0,0.84,Active,18.0,0.72,Active,51.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5998569,121,B,04,BMC Bengaluru Toastmasters Club,Active,8.0,8.0,4.0,-,4.0,8.0,1.0,Active,6.0,0.75,Active,18.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7934414,121,B,04,V R Advanced Toastmasters,Active,25.0,20.0,7.0,Yes,5.0,15.0,0.6,Active,18.0,0.72,Active,38.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677046,121,B,04,Bosch Adugodi,Active,18.0,18.0,5.0,-,16.0,9.0,0.5,Active,11.0,0.6111,Active,36.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
