Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
1389390,121,C,01,IIMB Orators Club,Active,58.0,59.0,10.0,Yes,14.0,52.0,0.8966,Active,53.0,0.9138,Active,119.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7514725,121,C,01,LKQI Toastmasters Club,Active,20.0,9.0,5.0,-,8.0,9.0,0.45,Active,3.0,0.15,Active,20.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7762021,121,C,01,Christ Toastmasters Club,Active,15.0,9.0,9.0,-,7.0,13.0,0.8667,Active,7.0,0.4667,Active,27.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678373,121,C,01,Sense-say-tional Toastmasters,Low,20.0,6.0,2.0,-,2.0,12.0,0.6,Active,5.0,0.25,Low,19.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
9639,121,C,02,Mecon Communication Club,Active,39.0,39.0,10.0,Yes,26.0,26.0,0.6667,Active,33.0,0.8462,Active,85.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4329635,121,C,02,Tarento India Toastmasters Club,Active,22.0,17.0,3.0,-,7.0,14.0,0.6364,Active,12.0,0.5455,Active,33.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6584495,121,C,02,The Impressions,Suspended,8.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675687,121,C,02,"School of Commerce, Jain University Toastmasters",Active,16.0,16.0,5.0,-,13.0,7.0,0.4375,Active,12.0,0.75,Active,32.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
2188958,121,C,03,Koramangala Toastmasters Club,Active,46.0,46.0,10.0,Yes,32.0,39.0,0.8478,Active,39.0,0.8478,Active,110.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6636162,121,C,03,BTM Toastmasters Club,Active,30.0,29.0,10.0,Yes,19.0,20.0,0.6667,Active,19.0,0.6333,Active,58.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6636175,121,C,03,Clinisys Toastmasters Club,Active,10.0,13.0,3.0,-,14.0,5.0,0.5,Active,6.0,0.6,Active,25.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676357,121,C,03,Ascend Trailblazers Toastmasters Club,Suspended,33.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678910,121,C,03,Furlenco Toastmasters Club,Active,29.0,14.0,2.0,-,5.0,11.0,0.3793,Active,11.0,0.3793,Active,27.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28680500,121,C,03,eGov Toastmasters Club,Active,20.0,30.0,1.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,30.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4410336,121,C,04,Dhwani Toastmasters,Active,32.0,33.0,9.0,Yes,25.0,26.0,0.8125,Active,23.0,0.7188,Active,74.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7502654,121,C,04,Transcend Toastmasters Club,Active,20.0,23.0,10.0,Yes,11.0,12.0,0.6,Active,23.0,1.15,Active,46.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7856506,121,C,04,Transcend Toastmasters Club - 2,Active,20.0,23.0,9.0,Yes,13.0,10.0,0.5,Active,23.0,1.15,Active,46.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7962666,121,C,04,Transcend Toastmasters Club 3,Active,20.0,21.0,10.0,Yes,9.0,14.0,0.7,Active,21.0,1.05,Active,44.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
