Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
3984104,121,D,01,Calicut Toastmasters,Active,22.0,25.0,10.0,Yes,18.0,19.0,0.8636,Active,19.0,0.8636,Active,56.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6750919,121,D,01,Kannur Toastmasters Club,Active,10.0,10.0,8.0,-,5.0,9.0,0.9,Active,7.0,0.7,Active,21.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675444,121,D,01,Advanced Debate Club,Active,11.0,10.0,2.0,-,2.0,8.0,0.7273,Active,10.0,0.9091,Active,20.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676179,121,D,01,Malabar Toastmasters Club,Active,23.0,25.0,10.0,Yes,17.0,18.0,0.7826,Active,15.0,0.6522,Active,51.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1872178,121,D,02,Toastmasters Club Of Thrissur,Active,22.0,25.0,10.0,Yes,17.0,20.0,0.9091,Active,17.0,0.7727,Active,54.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5915386,121,D,02,Enterprising Toastmasters of Palakkad,Active,27.0,27.0,10.0,Yes,14.0,23.0,0.8519,Active,19.0,0.7037,Active,56.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7173481,121,D,02,Perinthalmanna Toastmasters Club,Ineligible,12.0,0.0,1.0,-,0.0,12.0,1.0,Active,0.0,0.0,Renewals not here,12.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676579,121,D,02,Kasaragod Toastmasters Club,Active,11.0,8.0,2.0,-,10.0,4.0,0.3636,Active,3.0,0.2727,Active,17.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678457,121,D,02,Ayur Path Toastmasters Club,Suspended,23.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4327554,121,D,03,Orators Toastmasters,Active,9.0,11.0,8.0,-,6.0,8.0,0.8889,Active,10.0,1.1111,Active,24.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7814695,121,D,03,Thrissur Malayalam Toastmasters,Active,15.0,9.0,4.0,-,2.0,9.0,0.6,Active,8.0,0.5333,Active,19.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7902228,121,D,03,ME Kerala Toastmasters Club,Active,20.0,11.0,5.0,-,1.0,15.0,0.75,Active,11.0,0.55,Active,27.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675709,121,D,03,Sahrdaya Toastmasters Club,Ineligible,20.0,0.0,5.0,-,3.0,7.0,0.35,Active,0.0,0.0,Renewals not here,10.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1207477,121,D,04,EKM Toastmasters,Active,25.0,21.0,9.0,Yes,10.0,19.0,0.76,Active,17.0,0.68,Active,46.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7397586,121,D,04,Black Gold Toastmasters,Active,20.0,20.0,2.0,-,6.0,16.0,0.8,Active,18.0,0.9,Active,40.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7854448,121,D,04,Heritage Toastmasters,Active,11.0,8.0,1.0,-,2.0,7.0,0.6364,Active,7.0,0.6364,Active,16.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7877475,121,D,04,Cask Orators,Active,19.0,25.0,10.0,Yes,22.0,21.0,1.1053,Active,24.0,1.2632,Active,67.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7527118,121,D,05,Lead Orators Toastmasters,Suspended,8.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7657832,121,D,05,Bioingredia Toastmasters Club,Active,8.0,11.0,3.0,-,11.0,3.0,0.375,Active,11.0,1.375,Active,25.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7847626,121,D,05,Lead Champions Toastmasters Club,Suspended,11.0,0.0,0.0,-,0.0,3.0,0.2727,Active,0.0,0.0,Renewals not here,3.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7847628,121,D,05,LEAD THE WORLD TOASTMASTERS CLUB,Suspended,8.0,0.0,0.0,-,0.0,3.0,0.375,Active,0.0,0.0,Renewals not here,3.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
