Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
3859695,121,E,01,IBC Titans Toastmasters Club,Active,13.0,9.0,4.0,-,7.0,9.0,0.6923,Active,5.0,0.3846,Active,21.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4113936,121,E,01,Infinera Toastmasters,Active,20.0,22.0,8.0,Yes,6.0,20.0,1.0,Active,22.0,1.1,Active,48.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676711,121,E,01,Melange Toastmasters Club,Active,11.0,8.0,5.0,-,2.0,11.0,1.0,Active,8.0,0.7273,Active,21.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676900,121,E,01,Acuity Toastmasters Open Mic,Active,37.0,31.0,10.0,Yes,29.0,16.0,0.4324,Active,19.0,0.5135,Active,64.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5412566,121,E,02,RIPPLERS,Active,23.0,35.0,10.0,Yes,35.0,23.0,1.0,Active,21.0,0.913,Active,79.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6427472,121,E,02,Lead India Speakers Club,Active,17.0,22.0,10.0,Yes,19.0,12.0,0.7059,Active,13.0,0.7647,Active,44.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7711039,121,E,02,Words Worth Toastmasters,Active,39.0,35.0,10.0,Yes,14.0,31.0,0.7949,Active,34.0,0.8718,Active,79.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676701,121,E,02,Evolve Toastmasters,Active,32.0,33.0,10.0,Yes,16.0,24.0,0.75,Active,25.0,0.7812,Active,65.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
2405453,121,E,03,vTalk Toastmasters Club,Active,25.0,8.0,5.0,-,4.0,9.0,0.36,Active,8.0,0.32,Active,21.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6831114,121,E,03,Leaders Speak,Active,29.0,22.0,9.0,Yes,16.0,18.0,0.6207,Active,17.0,0.5862,Active,51.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7460211,121,E,03,WeSpeak Toastmasters Club,Active,33.0,25.0,10.0,Yes,19.0,32.0,0.9697,Active,24.0,0.7273,Active,75.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678473,121,E,03,Flexera Toastmasters,Active,38.0,38.0,5.0,Yes,42.0,19.0,0.5,Active,15.0,0.3947,Active,76.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
632425,121,E,04,CMS Speakers Forum Toastmasters Club,Active,20.0,8.0,6.0,-,3.0,16.0,0.8,Active,8.0,0.4,Active,27.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
725960,121,E,04,Jain Toastmasters Club,Active,20.0,8.0,7.0,-,4.0,16.0,0.8,Active,8.0,0.4,Active,28.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
726395,121,E,04,SBMJC Toastmasters Club,Active,20.0,8.0,7.0,-,5.0,15.0,0.75,Active,8.0,0.4,Active,28.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
726698,121,E,04,Mahaveer Toastmasters Club,Active,20.0,8.0,7.0,-,4.0,15.0,0.75,Active,8.0,0.4,Active,27.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
