Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
3014292,121,F,01,TAPMI Toastmasters,Active,15.0,8.0,10.0,-,10.0,10.0,0.6667,Active,8.0,0.5333,Active,28.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
3900632,121,F,01,Manipal-Udupi Toastmasters Club,Active,10.0,20.0,7.0,Yes,13.0,9.0,0.9,Active,10.0,1.0,Active,32.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6843977,121,F,01,MAHE Toastmasters Club,Active,25.0,30.0,10.0,Yes,21.0,25.0,1.0,Active,26.0,1.04,Active,72.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28676491,121,F,01,Udupi Toastmasters Club,Active,29.0,17.0,4.0,-,14.0,12.0,0.4138,Active,9.0,0.3103,Active,35.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
585650,121,F,02,Mangalore Club,Active,33.0,33.0,10.0,Yes,8.0,34.0,1.0303,Active,30.0,0.9091,Active,72.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1600545,121,F,02,INSPIRON Toastmasters Club,Active,30.0,8.0,2.0,-,0.0,10.0,0.3333,Active,8.0,0.2667,Active,18.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7817375,121,F,02,Karavali Toastmasters Club,Active,36.0,25.0,10.0,Yes,12.0,25.0,0.6944,Active,21.0,0.5833,Active,59.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7854374,121,F,02,Roshni Toastmasters Club,Active,20.0,9.0,4.0,-,3.0,8.0,0.4,Active,8.0,0.4,Active,19.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
3698,121,F,03,Winners Club ,Active,42.0,25.0,10.0,Yes,10.0,22.0,0.5238,Active,21.0,0.5,Active,53.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7325136,121,F,03,Bantwal Speech Weavers,Active,17.0,20.0,9.0,Yes,12.0,16.0,0.9412,Active,15.0,0.8824,Active,43.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
