Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
2389985,121,G,01,Trivandrum Toastmasters,Active,31.0,29.0,10.0,Yes,22.0,28.0,0.9032,Active,22.0,0.7097,Active,72.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677100,121,G,01,SADA India Toastmasters Club,Active,23.0,12.0,7.0,-,10.0,4.0,0.1739,Active,9.0,0.3913,Active,23.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677544,121,G,01,Neyyar Toastmasters Club,Active,16.0,8.0,8.0,-,4.0,10.0,0.625,Active,4.0,0.25,Active,18.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678049,121,G,01,TCS Maitree Trivandrum Toastmasters,Active,9.0,8.0,3.0,-,4.0,7.0,0.7778,Active,6.0,0.6667,Active,17.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28679400,121,G,01,RRD Trivandrum Toastmasters Club,Active,20.0,21.0,5.0,Yes,4.0,0.0,0.0,Renewals not here,17.0,0.85,Active,41.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7291065,121,G,02,H&R Block Toastmasters,Active,29.0,37.0,10.0,Yes,16.0,33.0,1.1379,Active,34.0,1.1724,Active,83.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7844793,121,G,02,Technopark Toastmasters,Active,29.0,26.0,10.0,Yes,20.0,24.0,0.8276,Active,21.0,0.7241,Active,65.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675833,121,G,02,DCSMAT TRIVANDRUM Toastmasters,Active,17.0,8.0,4.0,-,8.0,8.0,0.4706,Active,3.0,0.1765,Active,19.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677502,121,G,02,Allianz Services Toastmasters Club,Active,63.0,44.0,7.0,Yes,26.0,38.0,0.6032,Active,18.0,0.2857,Active,82.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28679587,121,G,02,The Toastmasters' Travelogue,Active,20.0,24.0,5.0,Yes,4.0,0.0,0.0,Renewals not here,19.0,0.95,Active,43.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7843793,121,G,03,Ananthapuri Toastmasters,Active,20.0,22.0,7.0,Yes,9.0,21.0,1.05,Active,18.0,0.9,Active,48.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7998505,121,G,03,PMI Kerala Chapter Toastmasters Club,Active,20.0,11.0,5.0,-,4.0,12.0,0.6,Active,9.0,0.45,Active,25.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677285,121,G,03,SmarTalk Toastmasters,Active,24.0,20.0,10.0,Yes,15.0,18.0,0.75,Active,16.0,0.6667,Active,49.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678096,121,G,03,Toastmasters of Trinfy,Active,26.0,20.0,9.0,Yes,7.0,17.0,0.6538,Active,17.0,0.6538,Active,41.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5044336,121,G,04,The Quilon Toastmasters,Active,21.0,22.0,10.0,Yes,12.0,16.0,0.7619,Active,20.0,0.9524,Active,48.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5455119,121,G,04,Centennial Orators,Active,12.0,17.0,10.0,Yes,13.0,11.0,0.9167,Active,9.0,0.75,Active,33.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675854,121,G,04,SparkleV Toastmasters,Active,20.0,11.0,5.0,-,0.0,15.0,0.75,Active,11.0,0.55,Active,26.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677130,121,G,04,Amrita Amritapuri Toastmasters Club,Active,12.0,28.0,10.0,Yes,26.0,16.0,1.3333,Active,15.0,1.25,Active,57.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28680203,121,G,04,Allianz Technology Toastmasters Club Trivandrum,Active,25.0,25.0,1.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,25.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
