Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
691074,121,H,01,Kochi Club,Active,52.0,51.0,10.0,Yes,24.0,50.0,0.9615,Active,45.0,0.8654,Active,119.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1418339,121,H,01,Assisi Toastmasters,Active,20.0,20.0,9.0,Yes,5.0,16.0,0.8,Active,16.0,0.8,Active,37.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4936848,121,H,01,Special Zone Toastmasters,Active,16.0,13.0,5.0,-,1.0,13.0,0.8125,Active,12.0,0.75,Active,26.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5409237,121,H,01,Spicy Toastmasters,Active,19.0,12.0,1.0,-,1.0,17.0,0.8947,Active,11.0,0.5789,Active,29.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675794,121,H,01,Toastmasters of MITS,Suspended,11.0,0.0,2.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1376605,121,H,02,Travancore Toastmasters Club,Active,25.0,25.0,10.0,Yes,9.0,27.0,1.08,Active,24.0,0.96,Active,60.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1379339,121,H,02,TCS Maitree Toastmasters Club: Kochi,Active,20.0,20.0,10.0,Yes,17.0,14.0,0.7,Active,11.0,0.55,Active,42.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5342790,121,H,02,Tripunithura Toastmasters,Active,11.0,8.0,2.0,-,4.0,8.0,0.7273,Active,7.0,0.6364,Active,19.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677516,121,H,02,V Guard Toastmasters Club,Suspended,11.0,0.0,0.0,-,0.0,2.0,0.1818,Ineligible,0.0,0.0,Renewals not here,2.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678681,121,H,02,IBS Software Cochin Toastmasters,Active,49.0,21.0,8.0,Yes,8.0,30.0,0.6122,Active,21.0,0.4286,Active,59.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
3903550,121,H,03,Smartcity Toastmasters,Active,8.0,8.0,2.0,-,1.0,7.0,0.875,Active,8.0,1.0,Active,16.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4270664,121,H,03,Hubbell India Cochin,Ineligible,20.0,0.0,1.0,-,0.0,20.0,1.0,Active,0.0,0.0,Renewals not here,20.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5025457,121,H,03,Advanced Toastmasters of Kerala,Active,28.0,28.0,10.0,Yes,13.0,25.0,0.8929,Active,25.0,0.8929,Active,63.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7772212,121,H,03,Wipro Kochi Toastmasters Club,Active,15.0,14.0,9.0,-,5.0,17.0,1.1333,Active,14.0,0.9333,Active,36.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678592,121,H,03,Orion Orators,Active,23.0,36.0,5.0,Yes,35.0,12.0,0.5217,Active,14.0,0.6087,Active,61.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6048274,121,H,04,Mathrumalayalam Toastmasters Club,Active,20.0,18.0,7.0,-,6.0,16.0,0.8,Active,18.0,0.9,Active,40.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7632625,121,H,04,Kottayam Toastmasters Club,Active,14.0,15.0,6.0,-,8.0,13.0,0.9286,Active,10.0,0.7143,Active,31.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7904546,121,H,04,Eloquent Champs Toastmasters Club,Active,12.0,15.0,5.0,Yes,7.0,11.0,0.9167,Active,11.0,0.9167,Active,29.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677133,121,H,04,Thodupuzha Toastmasters Club,Active,11.0,14.0,7.0,Yes,7.0,8.0,0.7273,Active,8.0,0.7273,Active,23.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1522721,121,H,05,Kerala Toastmasters,Ineligible,8.0,0.0,1.0,-,6.0,3.0,0.375,Active,0.0,0.0,Renewals not here,9.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1593046,121,H,05,Chartered Toast Masters,Active,21.0,17.0,4.0,-,8.0,12.0,0.5714,Active,11.0,0.5238,Active,31.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
1669119,121,H,05,Refinian Toastmasters Club,Low,8.0,4.0,2.0,-,7.0,9.0,1.125,Active,4.0,0.5,Low,20.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7679326,121,H,05,Litmus7 Kochi Toastmasters Club,Active,23.0,21.0,7.0,Yes,14.0,13.0,0.5652,Active,12.0,0.5217,Active,39.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7980410,121,H,05,Queen City Toastmasters,Active,20.0,20.0,8.0,Yes,9.0,19.0,0.95,Active,16.0,0.8,Active,44.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
