Club Number,District,Division,Area,Club Name,Club Status,Base Membership,Active Membership,Goals Met,Distinguished Status,Total New Members,September Renewals,September Renewals %,September Renewal Status,March Renewals,March Renewals %,March Renewal Status,Total Payments,July,August,September,October,November,December,January,February,March,April,May,June,Smedley Award Eligibility,Smedley Award Goal,Talk Up Eligibility,Talk Up Goal,Beat the Clock Eligibility,Beat the Clock Goal
9688,121,I,01,"Infosys Toastmasters, Bangalore",Active,21.0,25.0,10.0,Yes,30.0,10.0,0.4762,Active,14.0,0.6667,Active,54.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
2104976,121,I,01,SIBM Bengaluru Toastmasters Club,Suspended,16.0,0.0,0.0,-,0.0,0.0,0.0,Renewals not here,0.0,0.0,Renewals not here,0.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7641558,121,I,01,Toast and Tales Toastmasters Club,Active,27.0,26.0,10.0,Yes,20.0,23.0,0.8519,Active,18.0,0.6667,Active,61.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677529,121,I,01,HPE Element Toastmasters,Active,32.0,45.0,10.0,Yes,37.0,23.0,0.7188,Active,31.0,0.9688,Active,91.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28679397,121,I,01,TechM Bengaluru Toastmasters Club,Active,20.0,9.0,3.0,-,3.0,0.0,0.0,Renewals not here,8.0,0.4,Active,29.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
3674956,121,I,02,CGI Elite Speakers Forum,Active,24.0,20.0,6.0,Yes,21.0,15.0,0.625,Active,16.0,0.6667,Active,52.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4304110,121,I,02,Siemens Bangalore Toastmasters Club,Active,23.0,23.0,9.0,Yes,16.0,20.0,0.8696,Active,17.0,0.7391,Active,53.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5185978,121,I,02,Electronics City Toastmasters Club,Active,31.0,44.0,10.0,Yes,20.0,33.0,1.0645,Active,42.0,1.3548,Active,95.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
6920786,121,I,02,Merck Toastmasters Club,Suspended,8.0,5.0,1.0,-,5.0,3.0,0.375,Active,4.0,0.5,Low,12.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678701,121,I,02,Tavant Speakers Club,Active,30.0,20.0,5.0,Yes,12.0,21.0,0.7,Active,12.0,0.4,Active,45.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28679581,121,I,02,Movius Toastmasters Club,Active,24.0,24.0,2.0,-,0.0,0.0,0.0,Renewals not here,24.0,1.0,Active,48.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
4958536,121,I,03,DB Bangalore Toastmasters Club,Active,8.0,8.0,5.0,-,6.0,11.0,1.375,Active,7.0,0.875,Active,24.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
5843852,121,I,03,HSR Toastmasters Club,Active,50.0,48.0,10.0,Yes,18.0,46.0,0.92,Active,43.0,0.86,Active,107.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28675609,121,I,03,Greenage Toastmasters Club,Active,25.0,24.0,8.0,Yes,10.0,21.0,0.84,Active,20.0,0.8,Active,51.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677107,121,I,03,Ascent Toastmasters Club,Active,13.0,11.0,4.0,-,8.0,3.0,0.2308,Active,9.0,0.6923,Active,20.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
3283460,121,I,04,Wipro BEATS,Active,20.0,16.0,9.0,-,11.0,16.0,0.8,Active,12.0,0.6,Active,39.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
7586759,121,I,04,MOOG Flyers,Active,26.0,29.0,5.0,Yes,12.0,25.0,0.9615,Active,27.0,1.0385,Active,64.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28677664,121,I,04,Tessolve Toastmasters Club,Active,11.0,12.0,3.0,-,7.0,9.0,0.8182,Active,12.0,1.0909,Active,28.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
28678026,121,I,04,Brighthearts Toastmasters,Active,39.0,41.0,10.0,Yes,26.0,41.0,1.0513,Active,32.0,0.8205,Active,99.0,0,0,0,0,0,0,0,0,0,0,0,0,No,5,No,5,No,5
